"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","82","AllTests","Suite Name","Subsuite Name","Allure.XUnit.Examples.ExampleUnitTests","Test that 1 is not equals 1","Test that 1 is not equals 1","My long test description; Lorem ipsum dolor sit amet."
"failed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","3","AllTests","Suite Name","Subsuite Name","Allure.XUnit.Examples.ExampleUnitTests","Another Test","Another Test",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","53","","","","Allure.Xunit.Examples.ExampleSteps","Allure.Xunit.Examples.ExampleSteps.TestParameters","Allure.Xunit.Examples.ExampleSteps.TestParameters",""
"failed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","83","AllTests","Test AllureXunitTheory","Test MemberData with Custom Reference Type","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberData(a: MyTestClass { Test = 10 }, b: MyTestClass { Test = 11 })","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberData(a: MyTestClass { Test = 10 }, b: MyTestClass { Test = 11 })",""
"failed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test InlineData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheory(a: 1, b: 2)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheory(a: 1, b: 2)",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","14","AllTests","Suite Name","Subsuite Name","Allure.XUnit.Examples.ExampleUnitTests","Test that 1 is equals 1","Test that 1 is equals 1",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Suite Name","Subsuite Name","Allure.XUnit.Examples.ExampleUnitTests","Test mapped to existing test case #1 in allure","Test mapped to existing test case #1 in allure",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test MemberData with Custom Reference Type","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberData(a: MyTestClass { Test = 1 }, b: MyTestClass { Test = 1 })","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberData(a: MyTestClass { Test = 1 }, b: MyTestClass { Test = 1 })",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test ClassData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithClassData(value1: -4, value2: -6, expected: -10)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithClassData(value1: -4, value2: -6, expected: -10)",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test MemberData with Custom Reference Type","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberData(a: MyTestClass { Test = -1 }, b: MyTestClass { Test = -1 })","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberData(a: MyTestClass { Test = -1 }, b: MyTestClass { Test = -1 })",""
