"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","1","AllTests","Test AllureXunitTheory","Test MemberData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberDataProperty(value1: 1, value2: 2, expected: 3)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberDataProperty(value1: 1, value2: 2, expected: 3)",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test MemberData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberDataProperty(value1: -4, value2: -6, expected: -10)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberDataProperty(value1: -4, value2: -6, expected: -10)",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test ClassData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithClassData(value1: -2, value2: 2, expected: 0)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithClassData(value1: -2, value2: 2, expected: 0)",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test InlineData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheory(a: 1, b: 1)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheory(a: 1, b: 1)",""
"failed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","1","","","","Allure.Xunit.Examples.ExampleSteps","Allure.Xunit.Examples.ExampleSteps.TestFail","Allure.Xunit.Examples.ExampleSteps.TestFail",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test MemberData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberDataProperty(value1: -2147483648, value2: -1, expected: 2147483647)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberDataProperty(value1: -2147483648, value2: -1, expected: 2147483647)",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test ClassData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithClassData(value1: 1, value2: 2, expected: 3)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithClassData(value1: 1, value2: 2, expected: 3)",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Test AllureXunitTheory","Test ClassData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithClassData(value1: -2147483648, value2: -1, expected: 2147483647)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithClassData(value1: -2147483648, value2: -1, expected: 2147483647)",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","1","AllTests","Test AllureXunitTheory","Test MemberData with Custom Reference Type","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberData(a: MyTestClass { Test = 10 }, b: MyTestClass { Test = 10 })","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberData(a: MyTestClass { Test = 10 }, b: MyTestClass { Test = 10 })",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","0","AllTests","Suite Name","Subsuite Name","Allure.XUnit.Examples.ExampleUnitTests","Allure.XUnit.Examples.ExampleUnitTests.TestMultipleTagsWithOverwrite","Allure.XUnit.Examples.ExampleUnitTests.TestMultipleTagsWithOverwrite",""
"passed","Sat Jul 16 23:10:37 UTC 2022","Sat Jul 16 23:10:37 UTC 2022","1","AllTests","Test AllureXunitTheory","Test MemberData","Allure.XUnit.Examples.ExampleParameterisedTests","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberDataProperty(value1: -2, value2: 2, expected: 0)","Allure.XUnit.Examples.ExampleParameterisedTests.TestTheoryWithMemberDataProperty(value1: -2, value2: 2, expected: 0)",""
